,artistName,venueName,streamingEvent,title,locationText,artistUrl,watchLiveText,isPlus,callToActionText,rsvpCount,rsvpCountInt,startsAt,endsAt,timezone,locale,date_range,is_weekend,num_semaine,jour_avant,event_duration,popularity
0,Jonathan Arons Official,Herald Square,False,Triad Brass for Midtown Music,"New York City, NY",https://www.bandsintown.com/a/15373187-jonathan-arons-official?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 13:30:00,2024-10-08 18:00:00,America/New_York,en,events,False,2,43,4.5,Low
1,Zach Adleman,International Center of Photography Museum,False,Birsa Chatterjee @ International Center of Phot.,"New York City, NY",https://www.bandsintown.com/a/15497228-zach-adleman?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 17:00:00,2024-10-08 19:00:00,America/New_York,en,events,False,2,43,2.0,Low
2,kraftwitch,The Bar at Café Kitsuné,False,Joyride (DJ set),"Kings Point, NY",https://www.bandsintown.com/a/15544893-kraftwitch?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 18:00:00,2024-10-08 22:00:00,America/New_York,en,events,False,2,43,4.0,Medium
3,Rén with the Mane,Mercury Lounge,False,,"New York, NY",https://www.bandsintown.com/a/14623382-ren-with-the-mane?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 18:00:00,2024-10-08 19:00:00,America/New_York,en,events,False,2,43,1.0,Medium
4,D.A Sempre,SOL Mexican Cocina,False,,"New York, NY",https://www.bandsintown.com/a/14224384-d.a-sempre?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:00:00,2024-10-08 19:00:00,America/New_York,en,events,False,2,43,1.0,Low
5,Phoebe Katis,Mercury Lounge,False,,"New York, NY",https://www.bandsintown.com/a/2860730-phoebe-katis?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,2,2,2024-10-08 18:00:00,2024-10-08 19:00:00,America/New_York,en,events,False,2,43,1.0,High
6,Noé Socha,Collective Governors Island - A New York City Retreat,False,Noé Socha on Governors Island,"New York City, NY",https://www.bandsintown.com/a/3499167-noe-socha?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 18:00:00,2024-10-08 21:00:00,America/New_York,en,events,False,2,43,3.0,Medium
7,Jimmy Shaka,Mercato Kitchen & Cocktails,False,Mercato,"Massapequa Park, NY",https://www.bandsintown.com/a/15531110-jimmy-shaka?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:00:00,2024-10-08 21:00:00,America/New_York,en,events,False,2,43,3.0,Low
8,Cotton,The Apollo's Victoria Theater 1,False,,"New York City, NY",https://www.bandsintown.com/a/334789-cotton?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:30:00,2024-10-08 19:30:00,America/New_York,en,events,False,2,43,1.0,Low
9,Apollo,The Apollo's Victoria Theater 1,False,,"New York City, NY",https://www.bandsintown.com/a/119679-apollo?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:30:00,2024-10-08 19:30:00,America/New_York,en,events,False,2,43,1.0,Low
10,Johnny Marr,Brooklyn Paramount,False,,"Brooklyn, NY",https://www.bandsintown.com/a/145340-johnny-marr?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,254,254,2024-10-08 18:30:00,2024-10-08 19:30:00,America/New_York,en,events,False,2,43,1.0,Very High
11,Gabrielle Stravelli,Fraunces Tavern,False,Jazz at Fraunces Tavern,"New York City, NY",https://www.bandsintown.com/a/2094289-gabrielle-stravelli?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 18:30:00,2024-10-08 21:30:00,America/New_York,en,events,False,2,43,3.0,Medium
12,Nelson Riveros Music,Westchester Marriott,False,Solo Guitar Westchester Marriot,"Tarrytown, NY",https://www.bandsintown.com/a/13968981-nelson-riveros-music?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:30:00,2024-10-08 21:30:00,America/New_York,en,events,False,2,43,3.0,Low
13,Seth Adam,Run & Hide Brewing Co.,False,TEDESCHI TRUCKS BAND Pre-Show!,"Port Chester, NY",https://www.bandsintown.com/a/192658-seth-adam?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 18:30:00,2024-10-08 20:30:00,America/New_York,en,events,False,2,43,2.0,Low
14,james,Brooklyn Paramount,False,,"Brooklyn, NY",https://www.bandsintown.com/a/6111-james?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,51,51,2024-10-08 18:30:00,2024-10-08 19:30:00,America/New_York,en,events,False,2,43,1.0,Very High
15,Andy Diagram Trumpet,Brooklyn Paramount,False,Brooklyn New York USA (with James),"Brooklyn, NY",https://www.bandsintown.com/a/2204563-andy-diagram-trumpet?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,4,4,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,High
16,Ron Carter,Birdland,False,,"New York, NY",https://www.bandsintown.com/a/48680-ron-carter?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,9,9,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Very High
17,Gabriel Kahane,Peter Jay Sharp Theater at Playwrights Horizons,False,Magnificent Bird - Playwrights Horizons,"New York City, NY",https://www.bandsintown.com/a/48588-gabriel-kahane?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:30:00,America/New_York,en,events,False,2,43,1.5,Low
18,Sum 41,White Eagle Hall,False,WALKING DISASTER BOOK TOUR,"Jersey City, NJ",https://www.bandsintown.com/a/114-sum-41?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,274,274,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Very High
19,Ski Club,Arlene's Grocery,False,,"New York, NY",https://www.bandsintown.com/a/163314-ski-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Medium
20,Rookie Mistake,Arlene's Grocery,False,,"New York, NY",https://www.bandsintown.com/a/13133417-rookie-mistake?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
21,Nick Cabrera,So & So's Neighborhood Piano Bar,False,Solo @ So & So's,"New York City, NY",https://www.bandsintown.com/a/2628326-nick-cabrera?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
22,Alison,Pianos,False,,"New York, NY",https://www.bandsintown.com/a/450979-alison?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
23,On Your Radar,The Bitter End,False,,"New York, NY",https://www.bandsintown.com/a/1007451-on-your-radar?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
24,LANG LANG,Stern Auditorium / Perelman Stage at Carnegie Hall,False,,"New York City, NY",https://www.bandsintown.com/a/12176436-lang-lang?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,44,44,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Very High
25,Berke Can Özcan,Nublu 151,False,,"New York, NY",https://www.bandsintown.com/a/15534489-berke-can-ozcan?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,1,1,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Medium
26,The Fictionals,Pianos,False,,"New York, NY",https://www.bandsintown.com/a/3331295-the-fictionals?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
27,StereoPhonic,John Golden Theatre,False,,"New York City, NY",https://www.bandsintown.com/a/2449338-stereophonic?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,0,0,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Low
28,Gustavo Dudamel,Stern Auditorium / Perelman Stage at Carnegie Hall,False,,"New York City, NY",https://www.bandsintown.com/a/154567-gustavo-dudamel?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event,Watch Live,False,Tickets & RSVP,18,18,2024-10-08 19:00:00,2024-10-08 20:00:00,America/New_York,en,events,False,2,43,1.0,Very High
